date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5/21/2014,4,2.25,2000,9000,1.0,0.0,0.0,4,8,2000,0.0,1978,0.0,98023,47.3125,-122.387,2190,8374
11/4/2014,4,2.0,1960,2166,1.5,0.0,0.0,4,7,1260,700.0,1926,0.0,98103,47.6545,-122.344,1670,4000
12/15/2014,3,1.75,1740,10000,1.0,0.0,0.0,3,7,1740,0.0,1976,2009.0,98074,47.617,-122.05799999999999,1350,7500
11/18/2014,4,2.5,2840,8746,2.0,0.0,0.0,3,8,2840,0.0,2001,0.0,98022,47.19,-122.01299999999999,2630,9900
6/3/2014,3,2.25,1840,3500,1.5,0.0,0.0,5,8,1540,300.0,1910,0.0,98122,47.6063,-122.292,1800,3300
5/4/2015,3,2.25,1453,2225,2.0,0.0,0.0,4,8,1453,0.0,1986,0.0,98006,47.5429,-122.18799999999999,1860,2526
10/21/2014,3,1.0,1090,8280,1.0,0.0,0.0,3,6,1090,0.0,1947,2006.0,98155,47.7562,-122.318,1060,7609
2/5/2015,5,3.5,2880,5000,2.0,0.0,0.0,3,8,2260,620.0,2012,,98038,47.3455,-122.023,2590,4800
5/19/2014,3,1.5,1710,4500,1.5,0.0,0.0,3,8,1410,300.0,1928,0.0,98118,47.5366,-122.26799999999999,1860,6000
9/6/2014,3,1.75,2090,12026,1.0,0.0,0.0,4,7,2090,0.0,1948,0.0,98002,47.3095,-122.21700000000001,1700,9496
9/15/2014,3,2.5,2320,32772,2.0,0.0,0.0,3,9,2320,0.0,1992,,98053,47.6304,-121.988,2610,33305
3/26/2015,2,1.0,980,4800,1.0,0.0,0.0,4,7,980,0.0,1910,,98103,47.6569,-122.348,1570,2640
4/2/2015,2,1.0,840,7020,1.5,0.0,0.0,4,7,840,0.0,1943,0.0,98136,47.5513,-122.39399999999999,1310,7072
9/16/2014,5,3.25,3710,34200,2.0,0.0,0.0,3,8,2510,1200.0,1986,0.0,98074,47.6101,-122.04700000000001,1720,23100
12/11/2014,4,2.5,2531,6843,2.0,0.0,0.0,3,8,2531,0.0,2013,0.0,98030,47.385,-122.189,2604,6238
5/6/2014,3,1.0,1110,6250,1.0,0.0,0.0,3,7,1110,0.0,1956,,98115,47.6977,-122.292,2010,6944
11/25/2014,4,3.75,7620,29536,2.0,0.0,3.0,3,11,5980,1640.0,2005,0.0,98006,47.5571,-122.14,2840,20809
2/18/2015,4,2.5,3060,7920,1.0,,0.0,3,8,1810,?,1974,0.0,98028,47.7675,-122.26100000000001,2690,7767
7/18/2014,3,2.5,1600,2375,2.0,0.0,0.0,3,7,1600,0.0,2005,0.0,98029,47.5531,-121.99600000000001,1830,2375
4/1/2015,3,3.25,1720,1977,2.0,0.0,0.0,3,8,1360,360.0,2007,0.0,98122,47.6127,-122.29899999999999,1720,3420
5/9/2014,3,2.5,3560,107290,2.0,0.0,0.0,3,10,3560,0.0,1987,0.0,98053,47.6652,-122.04899999999999,3660,89298
1/8/2015,4,2.25,2290,40946,1.0,0.0,3.0,4,8,1550,740.0,1960,0.0,98008,47.61600000000001,-122.103,2790,20076
8/8/2014,4,2.5,3470,20445,2.0,0.0,0.0,4,10,3470,0.0,1963,0.0,98040,47.547,-122.219,3360,21950
4/6/2015,5,2.75,3710,8674,2.0,0.0,0.0,3,9,3710,0.0,1996,0.0,98056,47.513999999999996,-122.176,3250,8678
12/9/2014,3,2.25,1770,8000,1.0,0.0,0.0,4,7,1350,420.0,1976,,98072,47.7358,-122.17,1850,7875
10/14/2014,3,2.75,3230,5250,2.0,0.0,0.0,3,9,2680,550.0,2014,0.0,98065,47.5196,-121.87799999999999,2710,5250
4/30/2015,4,2.5,2590,11018,2.0,0.0,0.0,3,8,2590,0.0,1998,0.0,98092,47.2634,-122.211,2400,8042
7/21/2014,4,1.0,2420,15520,2.0,0.0,0.0,4,7,2420,0.0,1945,0.0,98006,47.5744,-122.137,1630,9965
12/17/2014,2,1.75,1740,7290,1.0,0.0,0.0,3,8,1280,?,1950,0.0,98199,47.6461,-122.397,1820,6174
8/7/2014,3,2.5,2290,9142,1.0,0.0,0.0,3,8,2290,0.0,1972,0.0,98117,47.691,-122.387,1770,8035
12/18/2014,5,2.5,2530,4229,2.0,0.0,0.0,3,7,2530,0.0,2004,0.0,98038,47.3531,-122.021,2070,4879
4/23/2015,4,4.75,5230,89298,2.5,0.0,0.0,3,11,5230,0.0,2002,0.0,98038,47.4097,-122.06299999999999,4110,107153
6/27/2014,2,1.5,1200,1687,3.0,0.0,0.0,3,8,1200,0.0,2008,0.0,98103,47.6491,-122.334,1240,1296
4/28/2015,3,1.75,1870,8250,2.0,0.0,0.0,3,7,1870,0.0,1956,1979.0,98188,47.445,-122.285,1350,8714
5/13/2014,3,1.5,1270,5112,1.0,,0.0,3,7,1270,0.0,1950,0.0,98115,47.676,-122.288,1580,5080
9/18/2014,4,2.75,2940,4232,2.0,0.0,0.0,3,9,2940,0.0,2004,0.0,98029,47.5529,-121.99,2410,4000
10/15/2014,3,2.25,2890,21480,2.0,,4.0,3,8,1790,1100.0,1941,1989.0,98146,47.5027,-122.381,2110,8107
9/4/2014,3,1.0,1180,6000,1.0,0.0,0.0,3,7,1180,0.0,1950,0.0,98115,47.6853,-122.286,1680,6000
10/29/2014,3,2.25,2630,9916,2.0,0.0,0.0,4,9,2630,0.0,1988,0.0,98092,47.3314,-122.20200000000001,2470,10810
8/5/2014,4,2.5,2670,5100,2.0,,0.0,3,8,1940,730.0,1929,2010.0,98117,47.6768,-122.39,1470,4080
7/17/2014,3,2.0,1410,10015,1.0,0.0,3.0,3,6,1410,0.0,1993,0.0,98045,47.4948,-121.77600000000001,1570,10485
8/31/2014,5,1.75,1320,38125,1.0,0.0,0.0,4,7,1120,200.0,1947,,98198,47.3937,-122.323,2360,15070
9/24/2014,4,2.25,3180,6105,2.0,,0.0,3,10,3180,0.0,1905,0.0,98112,47.6255,-122.314,3180,6029
8/27/2014,4,2.5,3030,47958,1.0,0.0,0.0,3,8,1660,1370.0,1980,0.0,98027,47.4598,-122.00399999999999,2740,36017
6/26/2014,6,3.0,3110,5000,1.5,0.0,0.0,5,7,1810,1300.0,1921,0.0,98103,47.6631,-122.348,1600,4000
3/29/2015,2,1.0,1120,6180,1.0,0.0,0.0,4,7,1120,?,1939,0.0,98115,47.6824,-122.301,1420,5356
4/16/2015,2,1.0,790,7500,1.0,,0.0,3,7,790,0.0,1951,0.0,98198,47.4007,-122.294,1560,7794
8/21/2014,2,2.5,2910,19449,2.0,1.0,4.0,5,9,1940,970.0,1985,0.0,98177,47.7729,-122.39299999999999,2540,23598
8/11/2014,3,2.25,2930,7005,3.0,0.0,2.0,3,9,2670,260.0,1999,0.0,98117,47.6763,-122.404,2450,6460
5/28/2014,4,2.75,1680,9545,1.0,0.0,0.0,4,7,1080,600.0,1979,0.0,98028,47.739,-122.243,1890,9545
3/27/2015,5,1.75,2000,10246,1.0,0.0,2.0,3,7,1200,800.0,1953,0.0,98178,47.5084,-122.24600000000001,2340,9030
4/6/2015,3,1.75,1790,7123,1.0,0.0,0.0,3,7,1790,0.0,1913,,98019,47.7429,-121.98100000000001,1660,8128
4/7/2015,3,1.75,1550,8134,1.0,0.0,0.0,4,7,1550,0.0,1959,0.0,98008,47.6136,-122.12100000000001,1360,8000
5/28/2014,3,1.0,1110,6000,1.5,0.0,0.0,5,7,1110,0.0,1932,0.0,98199,47.6496,-122.40299999999999,1420,6000
6/25/2014,3,2.5,1670,8364,1.0,0.0,0.0,4,7,1300,370.0,1990,0.0,98042,47.369,-122.084,1490,8143
9/17/2014,4,2.5,3050,7238,2.0,0.0,0.0,3,8,3050,0.0,1989,,98029,47.5772,-122.01299999999999,2580,7228
1/16/2015,3,1.0,1570,7727,1.0,,2.0,4,8,1270,300.0,1958,0.0,98056,47.4821,-122.19200000000001,2440,7727
6/11/2014,4,3.5,2550,8698,2.0,0.0,0.0,3,7,2550,0.0,2007,0.0,98065,47.5216,-121.869,2430,5519
11/21/2014,3,2.5,1520,3041,2.0,0.0,0.0,3,7,1520,0.0,2009,,98059,47.4874,-122.152,1820,3229
8/18/2014,3,1.75,1470,5000,1.5,0.0,0.0,5,7,1470,0.0,1900,,98107,47.6755,-122.369,1530,5000
3/18/2015,4,2.5,2820,10125,2.0,0.0,0.0,3,8,2820,0.0,2008,0.0,98155,47.7494,-122.304,1560,10125
7/3/2014,3,1.5,1380,4500,1.0,,0.0,5,7,1380,0.0,1960,0.0,98040,47.5866,-122.25,1590,9000
8/7/2014,2,1.5,1340,1286,2.0,0.0,0.0,3,8,1190,150.0,2006,0.0,98122,47.617,-122.309,1460,1245
4/16/2015,4,2.25,2420,11120,1.0,0.0,2.0,4,8,1620,800.0,1952,0.0,98146,47.4954,-122.366,2210,8497
7/9/2014,4,1.75,1820,5015,1.0,0.0,0.0,4,6,1190,630.0,1926,0.0,98108,47.5569,-122.31,1530,9130
8/25/2014,3,1.0,1150,4681,1.0,0.0,0.0,3,7,1150,0.0,1955,,98133,47.7284,-122.336,1150,6800
9/22/2014,3,1.75,2170,10018,1.0,0.0,0.0,4,7,1630,540.0,1978,0.0,98001,47.3087,-122.264,2049,15263
6/30/2014,2,1.0,1200,24792,2.0,0.0,0.0,2,7,1200,0.0,1976,0.0,98053,47.6337,-121.961,2150,24792
12/3/2014,3,1.75,1800,7199,1.0,0.0,0.0,3,7,1300,500.0,1972,,98125,47.7264,-122.307,1800,8100
12/24/2014,4,2.0,3100,8000,1.5,0.0,0.0,5,7,2040,1060.0,1939,0.0,98103,47.6852,-122.329,1650,4000
9/21/2014,5,2.25,3270,16553,2.0,0.0,2.0,5,9,2470,800.0,1968,0.0,98040,47.5428,-122.236,3690,17916
2/26/2015,2,1.5,1260,2625,2.0,0.0,0.0,4,7,1260,0.0,1983,,98052,47.6747,-122.15100000000001,1260,2625
1/26/2015,3,2.25,2080,70567,2.0,0.0,0.0,3,8,2080,0.0,1990,,98072,47.7221,-122.124,3730,43560
12/29/2014,3,2.0,2770,89298,2.0,,0.0,3,9,2770,0.0,2004,0.0,98045,47.4291,-121.84200000000001,2040,109771
11/21/2014,4,2.5,2780,35000,1.0,0.0,0.0,4,9,2780,0.0,1985,0.0,98072,47.7386,-122.09100000000001,2740,35072
7/22/2014,3,1.5,2240,13288,1.0,,0.0,3,7,2240,0.0,1953,0.0,98033,47.6762,-122.17,2150,9900
12/31/2014,3,1.75,1350,7686,1.0,0.0,0.0,3,7,1350,0.0,1987,0.0,98038,47.3617,-122.052,1370,7686
5/20/2014,4,1.0,1320,4440,1.5,0.0,0.0,3,7,1320,0.0,1929,0.0,98122,47.6145,-122.295,1260,4440
9/23/2014,6,2.0,2390,8660,1.5,0.0,0.0,4,7,2390,0.0,1925,0.0,98011,47.7589,-122.21600000000001,2250,12942
5/1/2015,3,1.0,1150,6480,1.5,0.0,0.0,4,5,1150,0.0,1946,0.0,98001,47.2642,-122.258,1100,7300
7/14/2014,3,1.75,2000,9760,1.0,0.0,0.0,4,8,1400,600.0,1978,,98058,47.4417,-122.134,1890,8089
9/8/2014,2,1.0,1100,27007,1.0,0.0,0.0,4,6,1100,0.0,1943,,98070,47.4471,-122.473,1746,91476
1/29/2015,3,1.0,1020,7650,1.0,0.0,0.0,3,6,1020,0.0,1919,0.0,98033,47.6795,-122.20200000000001,1870,5500
8/28/2014,4,3.75,3610,7904,3.0,0.0,0.0,3,11,3290,320.0,1994,,98117,47.6992,-122.385,2460,7300
4/10/2015,2,1.0,850,6000,1.0,0.0,0.0,3,6,850,0.0,1924,0.0,98178,47.4972,-122.22399999999999,1100,6000
10/10/2014,3,1.75,1360,6603,1.0,0.0,0.0,4,7,1360,0.0,1981,0.0,98058,47.4619,-122.16799999999999,1770,7107
5/7/2015,3,2.5,1550,4486,2.0,0.0,0.0,3,7,1550,0.0,2000,,98001,47.3299,-122.26899999999999,1700,4487
3/17/2015,3,2.75,3410,9360,1.5,0.0,0.0,4,8,3410,0.0,1967,0.0,98058,47.4497,-122.147,2260,10128
4/6/2015,3,2.5,1450,8977,1.0,0.0,0.0,3,8,1450,0.0,1990,0.0,98092,47.2576,-122.214,2410,8850
9/10/2014,4,2.0,3090,41147,1.0,0.0,0.0,3,7,3090,0.0,1990,0.0,98052,47.6748,-122.04899999999999,3300,34280
11/19/2014,4,3.75,4090,24825,2.0,0.0,0.0,4,11,3400,690.0,1926,0.0,98102,47.6338,-122.319,3910,11500
11/11/2014,3,1.5,1560,20251,1.0,0.0,0.0,5,7,1200,360.0,1989,0.0,98074,47.619,-122.054,1560,19119
10/21/2014,3,2.5,2150,8361,2.0,0.0,0.0,3,8,2150,0.0,1991,0.0,98058,47.4627,-122.12899999999999,2150,9368
6/2/2014,3,1.75,1510,8301,1.0,0.0,0.0,3,7,1510,?,1967,0.0,98034,47.7243,-122.22200000000001,1460,7910
9/3/2014,3,1.75,1990,5600,1.0,0.0,1.0,3,8,1330,660.0,1941,0.0,98199,47.65,-122.415,2630,6780
10/20/2014,6,2.5,3080,8163,1.0,0.0,0.0,3,7,1580,1500.0,1985,0.0,98030,47.3859,-122.221,1850,8658
3/18/2015,3,2.5,1690,2752,2.0,0.0,0.0,3,8,1690,0.0,1979,,98052,47.6332,-122.10799999999999,1690,2855
6/2/2014,3,2.25,2130,8721,1.0,0.0,0.0,3,8,1570,?,1987,0.0,98031,47.4202,-122.204,2130,9477
11/11/2014,3,2.5,3087,5002,2.0,0.0,0.0,3,8,3087,0.0,2014,0.0,98023,47.2974,-122.34899999999999,2927,5183
6/25/2014,3,1.5,1580,8184,1.0,0.0,0.0,3,7,1140,440.0,1954,0.0,98148,47.4294,-122.331,1540,9476
8/6/2014,3,2.25,1264,1536,2.0,0.0,0.0,3,8,1264,0.0,2003,0.0,98105,47.6694,-122.279,1264,2067
8/21/2014,3,2.25,2540,9961,1.0,0.0,0.0,4,8,1320,1220.0,1969,0.0,98031,47.41,-122.208,1870,10251
7/28/2014,2,1.0,1170,3000,1.5,0.0,0.0,3,7,1170,0.0,1910,0.0,98103,47.6697,-122.338,1530,4000
3/17/2015,1,1.0,620,2380,1.0,0.0,0.0,3,6,620,0.0,1900,,98115,47.6746,-122.32600000000001,980,3570
9/19/2014,2,1.75,1460,1500,2.0,,0.0,3,8,1000,460.0,2008,0.0,98103,47.6853,-122.35600000000001,1440,4120
11/14/2014,6,2.0,1870,6969,1.0,0.0,0.0,4,7,1870,0.0,1968,0.0,98027,47.5342,-122.036,1500,6969
6/16/2014,3,1.0,1120,2300,1.0,0.0,0.0,4,7,820,300.0,1912,0.0,98117,47.6797,-122.384,1430,5100
11/17/2014,3,2.5,1590,8449,2.0,0.0,0.0,3,7,1590,0.0,1989,,98030,47.3493,-122.177,1750,7172
5/22/2014,4,1.75,2740,8520,1.0,0.0,2.0,3,8,1370,1370.0,1954,,98118,47.5445,-122.26299999999999,2740,9286
4/15/2015,4,2.0,1650,7552,1.0,0.0,0.0,4,7,860,790.0,1977,0.0,98155,47.7765,-122.324,1410,7199
5/5/2015,2,1.0,1140,3990,1.0,0.0,0.0,3,7,1140,0.0,1924,0.0,98103,47.6554,-122.333,1800,5700
6/25/2014,5,2.25,2370,15512,2.0,0.0,0.0,4,9,2370,0.0,1981,0.0,98006,47.5555,-122.15,2380,15100
10/6/2014,4,2.5,2300,219106,1.0,0.0,0.0,4,7,1840,460.0,1958,0.0,98038,47.4044,-121.963,2120,123710
7/29/2014,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808
11/12/2014,4,3.0,2800,7845,2.0,0.0,0.0,3,8,2800,0.0,2002,0.0,98038,47.3544,-122.01299999999999,2800,6977
4/1/2015,4,2.5,2630,6283,2.0,0.0,0.0,3,9,2630,0.0,2006,0.0,98059,47.5079,-122.15799999999999,2630,7210
10/17/2014,5,2.75,2930,10148,2.0,,0.0,3,9,2930,0.0,2002,0.0,98059,47.4887,-122.145,2930,8425
4/1/2015,3,1.75,1410,2052,2.0,0.0,0.0,3,8,1410,0.0,2014,,98106,47.5171,-122.34700000000001,1410,1988
1/2/2015,3,1.75,1320,10416,1.0,0.0,0.0,3,7,1320,0.0,1996,0.0,98031,47.3902,-122.208,1670,7991
11/20/2014,5,3.0,2350,6480,2.0,0.0,3.0,4,7,1650,700.0,1924,1962.0,98118,47.558,-122.266,1840,7200
12/1/2014,3,1.0,1960,9583,2.0,0.0,0.0,2,5,1960,0.0,1908,0.0,98056,47.505,-122.171,1850,8324
12/10/2014,5,2.25,1790,10300,1.0,0.0,0.0,3,7,1270,520.0,1961,0.0,98155,47.7718,-122.292,1790,10300
10/20/2014,2,1.0,750,6720,1.0,0.0,0.0,3,6,750,0.0,1916,0.0,98108,47.552,-122.31,920,6720
4/13/2015,4,2.25,2270,12000,1.0,0.0,0.0,4,7,1360,910.0,1979,,98072,47.7559,-122.148,2500,10120
4/22/2015,4,2.5,2150,7670,1.0,,0.0,5,7,1240,910.0,1976,0.0,98031,47.3942,-122.189,1610,7350
3/10/2015,3,3.0,3110,9015,1.0,,4.0,4,10,1590,1520.0,1980,,98033,47.6624,-122.20200000000001,3150,11447
4/24/2015,4,2.25,1240,21190,1.0,0.0,0.0,3,8,910,330.0,1974,0.0,98056,47.5123,-122.197,1760,8200
12/22/2014,4,2.5,2460,7800,1.0,0.0,0.0,3,8,1500,960.0,1977,0.0,98023,47.3081,-122.384,2210,7800
11/6/2014,5,1.75,2290,7900,1.0,0.0,0.0,4,7,1190,1100.0,1965,0.0,98133,47.7577,-122.35799999999999,1870,8250
6/2/2014,3,1.75,2160,6272,1.0,0.0,0.0,4,8,1390,770.0,1960,0.0,98115,47.6777,-122.306,1290,5376
11/6/2014,2,1.0,1080,9067,1.0,0.0,0.0,3,6,1080,0.0,1951,0.0,98168,47.4815,-122.331,1080,6647
6/3/2014,2,1.0,1230,6600,1.0,0.0,0.0,3,7,1130,100.0,1906,0.0,98118,47.5573,-122.28200000000001,1260,5060
6/23/2014,5,2.5,4470,35124,2.5,0.0,0.0,3,11,4470,0.0,1984,0.0,98072,47.7377,-122.084,4050,34118
1/21/2015,4,2.25,2550,7800,1.0,0.0,0.0,3,8,1580,970.0,1968,0.0,98052,47.6283,-122.095,2420,8050
7/18/2014,5,1.75,1830,7986,1.0,0.0,0.0,4,7,1060,770.0,1962,0.0,98106,47.5208,-122.35,1410,7260
11/4/2014,3,1.75,1830,27468,1.0,0.0,0.0,3,7,1830,0.0,1954,,98028,47.7754,-122.23299999999999,1860,10180
1/14/2015,2,1.5,1120,1312,2.0,0.0,0.0,3,7,1000,120.0,2004,0.0,98106,47.534,-122.36399999999999,1560,1314
8/5/2014,4,1.75,1550,50094,1.0,0.0,3.0,4,6,1550,0.0,1967,,98022,47.2194,-122.059,1720,50094
6/23/2014,3,2.5,2260,10153,2.0,0.0,0.0,3,10,2260,0.0,1987,0.0,98074,47.64100000000001,-122.068,2740,10153
12/1/2014,4,2.5,1900,5001,1.0,0.0,0.0,3,8,1200,700.0,2008,,98133,47.7289,-122.335,1950,4680
5/18/2014,3,2.0,1940,55756,1.0,,0.0,5,9,1940,0.0,1954,0.0,98007,47.5913,-122.149,2330,10018
8/25/2014,3,2.0,1830,3500,1.5,0.0,0.0,5,7,1290,540.0,1909,0.0,98116,47.573,-122.383,1530,4000
4/1/2015,6,2.5,2590,11250,1.0,0.0,0.0,4,8,1390,1200.0,1978,0.0,98055,47.4608,-122.196,2270,8360
5/6/2015,3,2.0,1050,18304,1.0,0.0,0.0,4,7,1050,0.0,1953,0.0,98001,47.3206,-122.26899999999999,1690,15675
11/21/2014,4,2.25,2380,7400,1.0,0.0,0.0,4,8,1760,620.0,1979,0.0,98042,47.3555,-122.149,1940,7400
4/2/2015,4,3.0,4160,13170,2.0,0.0,0.0,3,11,3040,1120.0,2001,0.0,98059,47.5182,-122.149,3780,13148
7/17/2014,3,2.25,2110,2850,3.0,0.0,0.0,3,8,2110,0.0,2001,0.0,98103,47.6915,-122.339,1340,5001
3/27/2015,3,1.0,1250,4590,1.5,,0.0,3,6,970,280.0,1903,0.0,98115,47.6757,-122.32700000000001,1830,4080
5/7/2015,3,2.25,1580,7034,1.0,0.0,0.0,4,7,1180,400.0,1989,0.0,98038,47.3564,-122.04,1470,7358
6/16/2014,3,1.75,1070,8100,1.0,0.0,0.0,4,6,1070,0.0,1957,0.0,98002,47.2853,-122.22,1260,8100
8/27/2014,3,2.25,1140,977,2.0,0.0,0.0,3,7,850,290.0,2008,0.0,98126,47.5439,-122.375,1140,976
12/4/2014,4,2.75,4030,10240,2.0,0.0,2.0,3,8,3310,720.0,1943,,98177,47.7168,-122.365,2490,7680
4/24/2015,3,3.25,2240,5000,2.0,0.0,0.0,3,9,1540,700.0,1989,0.0,98198,47.4114,-122.334,1800,7500
1/29/2015,4,1.0,1220,5120,1.5,0.0,0.0,5,6,1220,0.0,1940,0.0,98022,47.205,-121.99600000000001,1540,7670
2/23/2015,3,1.5,1250,8004,1.0,0.0,0.0,3,7,1250,0.0,1965,0.0,98008,47.6285,-122.117,1450,7931
8/18/2014,3,2.0,2030,17120,1.0,0.0,2.0,4,8,1890,140.0,1966,0.0,98092,47.2953,-122.185,1870,13662
4/13/2015,4,2.25,2250,3600,2.0,0.0,0.0,4,9,2010,240.0,1912,,98119,47.643,-122.37,1910,3990
4/7/2015,4,1.75,2560,15000,1.0,0.0,0.0,3,7,1880,680.0,1974,0.0,98075,47.5952,-122.053,2210,15150
10/21/2014,3,1.5,1410,9000,1.0,0.0,0.0,3,7,1410,0.0,1953,0.0,98133,47.7635,-122.35,1910,7214
12/11/2014,2,1.75,1830,7200,1.0,0.0,2.0,4,7,1070,760.0,1949,0.0,98118,47.5592,-122.273,1570,6000
9/2/2014,2,2.5,2390,6928,2.0,0.0,3.0,4,8,1810,580.0,1949,1982.0,98146,47.5101,-122.391,2390,12852
8/6/2014,4,1.0,1380,6700,1.0,0.0,0.0,3,7,1190,190.0,1928,0.0,98168,47.4871,-122.281,1380,8292
3/2/2015,3,2.0,2660,257875,1.0,0.0,2.0,4,8,1530,1130.0,1976,0.0,98024,47.553000000000004,-121.887,1710,64033
6/30/2014,3,2.25,1370,1524,3.0,0.0,0.0,3,8,1370,0.0,2005,0.0,98103,47.6982,-122.34700000000001,1370,1418
12/23/2014,5,2.5,2406,7093,2.0,0.0,0.0,3,8,2406,0.0,2006,0.0,98001,47.2615,-122.25200000000001,1767,7093
10/30/2014,3,1.75,1460,8372,1.0,0.0,0.0,4,7,1460,0.0,1981,0.0,98042,47.3683,-122.087,1220,7803
2/12/2015,4,1.75,2520,8442,1.0,,0.0,4,7,1640,880.0,1953,0.0,98004,47.6317,-122.205,2110,8442
4/17/2015,3,2.5,2370,10968,2.0,0.0,0.0,4,9,2370,0.0,1985,0.0,98033,47.6679,-122.17200000000001,2380,8144
10/30/2014,3,2.25,2640,7544,1.0,0.0,0.0,3,10,2640,0.0,1995,,98004,47.6224,-122.195,2650,7904
2/19/2015,1,0.75,470,15000,1.0,0.0,0.0,3,4,470,0.0,1947,0.0,98014,47.6554,-121.90799999999999,1730,22500
11/7/2014,3,1.75,1270,6600,1.5,0.0,0.0,5,7,1270,0.0,1903,0.0,98144,47.5976,-122.295,1490,3600
5/19/2014,5,3.25,4180,49222,2.0,0.0,0.0,4,8,2880,1300.0,1979,,98027,47.5488,-122.094,3170,8029
10/28/2014,4,1.5,1050,9516,1.0,0.0,0.0,4,7,1050,0.0,1969,0.0,98031,47.4151,-122.181,1390,9600
6/12/2014,5,3.0,1880,5000,1.0,0.0,0.0,3,7,1100,780.0,1997,0.0,98106,47.5453,-122.363,1640,5000
4/16/2015,2,1.0,1020,7679,1.0,0.0,0.0,5,6,1020,0.0,1942,0.0,98056,47.4915,-122.18799999999999,1280,6497
